_,10835,525
__,829,146
_bloodybloody_,52,94
_EricSchmidt,580,445
aaronlammer,1133,430
aaronpk,1676,561
AaronSoloway,4,0
activefree,1133,63
adammathes,374,176
admiralspider,159,205
adrianholovaty,9945,220
alexismallen,156,116
alisonhallett,2357,699
allidryer,179,233
alphacolin,893,829
amberdawn,876,422
AndreiCervantes,224,280
andrewcatton,2202,372
andrewhao,264,174
andrewlovseth,31,76
Angelcore,286,480
anildash,420868,1230
anthro,58,104
antichrista,2881,392
apatriq,858,599
APowell10,1721,300
AppleSoupRadio,147,160
ario,3511,339
arne,1174,269
asianmack,804,177
atduskgreg,2037,635
attaboy,3041,617
AustinTHaas,74,133
avantARL,15,19
avibryant,6539,594
axelletess,1861,237
ayman,1933,357
bahoo,512,293
beach,1751,367
benbrown,2618,281
Benco,155,113
benjaminlotan,1972,427
BenWard,7643,678
benwerd,3225,1308
bergatron,995,258
bertrandom,519,251
Beschizza,4946,359
bfirsh,1010,328
bhefter,256,213
bifurcations,207,182
billder,3220,804
billjive,785,339
birsic,1318,318
blaine,12873,903
boboramason,413,234
bowlerjim,323,487
bradbarrish,2634,2123
BradEllis,1319,82
brady,10715,2358
bre,15224,191
brennannovak,3810,535
brianellin,5442,1048
brianwhite,1965,237
brrdatplay,399,410
buchino,925,368
bump,3217,3276
byrnereese,925,238
Cabel,53733,297
cadler,3760,715
cainlevy,532,43
caseorganic,15446,4313
caseypugh,1187,410
Caterina,75669,744
cbowns,1516,214
ceedub,3832,740
Celiaka,324,481
chaddickerson,7151,927
chadsnuts,393,251
challf,28,44
chase_reeves,1501,456
chipbrantley,1069,897
chrisauel,263,290
chrisdary,540,351
chrishiggins,998,501
chrismcclelland,1664,856
ChrisMuccioli,563,467
chrisp,307,186
chrisrivard,341,480
cindijocheaney,15,29
cjmartin,1492,363
ckrub,267,404
clarkus,191,534
codypeterson,1068,1101
colinmsaunders,19,3
colleenromike,62,118
coopermchatton,56,145
couch,2842,470
Coudal,22844,568
cruffenach,539,552
cstcroix,160,243
cubesebuc,321,474
dalasv,588,79
danadub,35,54
danbenjamin,27183,217
danbruno,843,344
dandrabik,114,20
danharmon,152091,316
danmessing,1290,654
danprovost,763,233
danribaudo,70,108
daryn,1787,545
davidfg,9177,498
davidtweets,1166,1012
dawntweet,409,1
ddukes,3136,1021
dealingwith,668,301
dianakimball,3318,437
digimarkus,185,165
Disasterpeace,3801,260
dokas,453,229
donttrythis,761479,140
drbparsons,1210,335
dreamyshade,114,140
drnormal,1646,1565
duncan,6110,725
dwineman,3802,227
ebohling,224,235
eclaire_reese,446,397
EDGELABSLLC,2,0
edwario,732,1387
ekai,4998,2034
elea,1258,96
eliot,1868,272
ellenchisa,820,918
emckean,4856,714
emilepetrone,1537,247
emp,849,666
ericholscher,1659,259
eriiicam,551,270
erikhanberg,1015,895
erikprice,1570,270
erinjo,1597,695
ErinMcGathy,2255,315
erinw,272,126
ev_rat,4639,449
EvanOsherow,213,136
everycopy,65,61
factorynicole,38,140
fimoculous,8664,1343
flipzagging,490,312
fnerg,86,47
fraying,9663,470
fredbenenson,3599,2048
furtivecode,271,198
garychou,3552,1987
geekygirldawn,4946,660
getdizzzy,290,200
gknauss,4072,155
GlennF,7279,1085
gnat,7621,1607
go,2867,242
goodonpaper,5650,251
gregcohn,1885,1453
haddiebird,1223,523
happeness,430,108
HarloPetoskey,48,97
hc,3728,1456
hchamp,4568,285
heartshapedsky,518,328
helena,3952,724
hellbox,675,386
hesketh,980,349
heyitsgarrett,867,100
holgate,112,195
hondanhon,3011,1061
hoverbird,52617,988
howardweaver,2532,561
hungrymofo,9,1
i2pi,2260,729
idontlikewords,1441,1262
iEMKelley,87,167
indiegamemovie,13498,1120
j,25528,442
jabancroft,4662,1654
jacob,4217,1334
jamesshore,3770,119
jamiew,2796,427
JaminWar,3004,349
jandersen,1102,447
jaredmoran,253,138
jasonmauer,744,268
